Species	Lat	Long
Colobura_dirce	-5.930131	-35.185294
Historis_odius	-5.930131	-35.185294
Historis_acheronta	-5.930131	-35.185294
Historis_odius	-13.083333	-52.383333
Colobura_dirce	-4.85	-42.883333
Colobura_dirce	-0.45	-51.666667
Historis_odius	-0.45	-51.666667
Historis_acheronta	-29.355186	-49.757492
Colobura_dirce	-29.355186	-49.757492
Colobura_dirce	-19.936828	-40.598328
Historis_acheronta	-19.936828	-40.598328
Historis_odius	-19.936828	-40.598328
Colobura_dirce	-27.746836	-48.505425
Historis_odius	-27.846383	-48.858375
Historis_acheronta	-23.266667	-46.983333
Historis_odius	-23.266667	-46.983333
Colobura_dirce	-23.266667	-46.983333
Historis_odius	-24.349314	-49.731525
Colobura_dirce	-0.650833	-76.378333
Colobura_annulata	-0.650833	-76.378333
Historis_acheronta	-0.650833	-76.378333
Historis_odius	-0.650833	-76.378333
Colobura_dirce	-19.05	-43.616667
Colobura_dirce	-29.583333	-50.266667
Historis_acheronta	-29.583333	-50.266667
Historis_odius	-29.583333	-50.266667
Colobura_annulata	10.412	-84.115408
Colobura_dirce	10.412	-84.115408
Historis_odius	10.412	-84.115408
Historis_acheronta	10.412	-84.115408
Baeotus_deucalion	-0.497306	-76.374694
Baeotus_aeilus	-0.497306	-76.374694
Colobura_dirce	-0.497306	-76.374694
Historis_acheronta	-0.497306	-76.374694
Historis_odius	-0.497306	-76.374694
Historis_odius	-1.066667	-77.6
Colobura_dirce	-1.066667	-77.6
Colobura_dirce	-6.726975	-35.178681
Historis_acheronta	-6.726975	-35.178681
Historis_odius	-6.726975	-35.178681
Historis_odius	-25.383333	-51.45
Colobura_dirce	-25.383333	-51.45
Colobura_dirce	-13.583333	-39.716667
Historis_odius	-13.583333	-39.716667
Historis_odius	-10.533333	-62.8
Colobura_dirce	-10.533333	-62.8
Colobura_dirce	-23.95	-46.35
Historis_odius	-23.95	-46.35
Historis_acheronta	-23.95	-46.35
Historis_odius	-8.966667	-36.05
Colobura_dirce	-8.966667	-36.05
Historis_odius	-22.45	-44.6
Colobura_dirce	-22.45	-44.6
Historis_acheronta	-30.351997	-51.026839
Historis_odius	-30.351997	-51.026839
Colobura_dirce	-22.616667	-52.85
Historis_odius	-22.616667	-52.85
Historis_odius	-22.824911	-47.107464
Colobura_dirce	-22.824911	-47.107464
Historis_odius	-15.507278	-44.755917
Colobura_dirce	-2.916667	-59.883333
Historis_odius	-25.083333	-54.5
Colobura_dirce	-25.083333	-54.5
Historis_acheronta	-2.916667	-59.883333
Colobura_annulata	-2.916667	-59.883333
Colobura_dirce	-2.916667	-59.883333
Historis_odius	-2.916667	-59.883333
Baeotus_deucalion	-2.916667	-59.883333
Baeotus_aeilus	-2.916667	-59.883333
Historis_acheronta	-6.598481	-35.053142
Historis_odius	-6.598481	-35.053142
Colobura_dirce	-15.939722	-47.938056
Historis_odius	-15.939722	-47.938056
Historis_acheronta	-8.4	-37.233333
Historis_odius	-8.862778	-43.481667
Historis_odius	-3.862806	-40.899833
Colobura_dirce	-3.862806	-40.899833
Colobura_dirce	-6.975833	-35.748611
Historis_acheronta	-7.15	-34.866667
Historis_odius	-7.15	-34.866667
Colobura_dirce	-7.15	-34.866667
Colobura_dirce	-25.583333	-48.533333
Colobura_dirce	-10.65	-40.366667
Historis_odius	-10.65	-40.366667
Colobura_dirce	-21.426133	-45.948175
Historis_odius	-21.426133	-45.948175
Colobura_dirce	-20.25	-46.366667
Colobura_dirce	-22.528394	-52.2978
Historis_odius	-22.528394	-52.2978
Historis_odius	-21.255556	-46.565278
Historis_acheronta	-19.021036	-40.122772
Historis_odius	-19.021036	-40.122772
Colobura_dirce	-8.369167	-36.083333
Historis_odius	-8.369167	-36.083333
Historis_acheronta	-12.25	-38
Historis_odius	-12.25	-38
Colobura_dirce	-12.25	-38
Colobura_dirce	-18.948889	-48.205833
Colobura_dirce	-15.867125	-47.830978
Historis_acheronta	-15.867125	-47.830978
Historis_odius	-15.867125	-47.830978
Colobura_dirce	-19.35	-43.616667
Colobura_dirce	-5.016667	-47.533333
Historis_acheronta	-5.016667	-47.533333
Historis_odius	-5.016667	-47.533333
Colobura_dirce	-23.333333	-45.333333
Historis_acheronta	-2.894167	-58.716111
Historis_odius	-2.894167	-58.716111
Colobura_dirce	-2.894167	-58.716111
Baeotus_deucalion	-2.894167	-58.716111
Baeotus_aeilus	-2.894167	-58.716111
Colobura_dirce	-18.918886	-48.258878
Colobura_dirce	-29.433933	-50.3952
Historis_acheronta	-29.433933	-50.3952
Historis_acheronta	-6.613561	-37.253961
Historis_odius	-6.613561	-37.253961
Historis_odius	-23.266667	-46.983333
Historis_odius	-22.256722	-47.817047
Colobura_dirce	-19.919625	-43.992228
Colobura_dirce	-20.010278	-43.969139
Historis_odius	-20.010278	-43.969139
Colobura_dirce	-19.971778	-43.908333
Historis_odius	-19.971778	-43.908333
Colobura_dirce	-19.922778	-43.933611
Historis_odius	-21.101736	-56.684544
Colobura_dirce	-21.101736	-56.684544
Colobura_dirce	-29.583333	-50.266667
Colobura_dirce	-23.483333	-46.183333
Historis_odius	-23.483333	-46.183333
Colobura_dirce	-23.737314	-46.967022
Historis_odius	-23.737314	-46.967022
Colobura_dirce	-16.387697	-39.169733
Historis_acheronta	-16.387697	-39.169733
Historis_odius	-16.387697	-39.169733
Colobura_dirce	-13.833333	-39.166667
Historis_acheronta	-13.833333	-39.166667
Historis_odius	-13.833333	-39.166667
Historis_odius	-14.592353	-67.563531
Colobura_dirce	-14.592353	-67.563531
Baeotus_aeilus	-14.592353	-67.563531
Colobura_dirce	1.084	-76.627525
Colobura_annulata	1.084	-76.627525
Baeotus_deucalion	1.084	-76.627525
Historis_acheronta	1.084	-76.627525
Historis_odius	1.084	-76.627525
Baeotus_deucalion	-1.031674	-77.673621
Baeotus_aeilus	-1.031674	-77.673621
Colobura_dirce	-1.031674	-77.673621
Historis_acheronta	-1.031674	-77.673621
Historis_odius	-1.031674	-77.673621
Historis_odius	-1.031425	-77.673
Historis_acheronta	-1.031425	-77.673
Colobura_dirce	-1.031425	-77.673
Baeotus_aeilus	-1.031425	-77.673
Baeotus_deucalion	-1.031425	-77.673
Colobura_dirce	18.45	-95.2062
Historis_odius	18.45	-95.2062
Historis_acheronta	18.586	-95.075289
Colobura_dirce	18.586	-95.075289
Historis_odius	18.586	-95.075289
Colobura_dirce	17.68	-91.637778
Historis_acheronta	17.68	-91.637778
Historis_odius	17.68	-91.637778
Historis_odius	19.674	-104.322725
Historis_odius	19.7	-104.388125
Historis_odius	20.651	-105.226514
Historis_acheronta	19.498	-105.044547
Colobura_dirce	19.674	-104.322725
Colobura_dirce	20.713	-103.254489
Colobura_dirce	19.498	-105.044547
Colobura_dirce	21.059	-103.964422
Colobura_dirce	20.53	-105.289597
Colobura_dirce	20.651	-105.226514
Historis_acheronta	18.616	-89.533333
Historis_odius	18.616	-89.533333
Colobura_dirce	18.616	-89.533333
Colobura_dirce	17.994	-93.583333
Historis_odius	17.566	-92.916667
Historis_odius	17.616	-92.466667
Historis_odius	17.666	-91.633333
Historis_odius	16.9	-92.116667
Historis_odius	15.316	-92.716667
Historis_odius	16.983	-94.366667
Historis_odius	19.1	-96.133333
Historis_odius	17.433	-96.466667
Historis_odius	21.416	-98.883333
Historis_acheronta	17.566	-92.916667
Historis_acheronta	17.616	-92.466667
Historis_acheronta	17.666	-91.633333
Historis_acheronta	16.9	-92.116667
Historis_acheronta	15.316	-92.716667
Historis_acheronta	16.983	-94.366667
Historis_acheronta	17.033	-94.5
Historis_acheronta	19.1	-96.133333
Historis_acheronta	17.433	-96.466667
Historis_acheronta	21.416	-98.883333
Historis_acheronta	16.116	-90.916667
Colobura_dirce	17.566	-92.916667
Colobura_dirce	17.616	-92.466667
Colobura_dirce	17.666	-91.633333
Colobura_dirce	16.9	-92.116667
Colobura_dirce	15.316	-92.716667
Colobura_dirce	16.983	-94.366667
Colobura_dirce	17.033	-94.5
Colobura_dirce	19.1	-96.133333
Colobura_dirce	17.433	-96.466667
Colobura_dirce	21.416	-98.883333
Colobura_dirce	16.116	-90.916667
Colobura_dirce	-22.211111	-54.920222
Historis_odius	-12.874167	-39.4725
Historis_acheronta	-12.874167	-39.4725
Colobura_dirce	-12.874167	-39.4725
Historis_odius	-9.66625	-35.7351
Historis_acheronta	-9.66625	-35.7351
Colobura_dirce	-9.66625	-35.7351
Colobura_dirce	-0.65	-72.1
Historis_acheronta	-11.93	-71.255
Historis_odius	-11.93	-71.255
Baeotus_aeilus	-11.93	-71.255
Baeotus_deucalion	-11.93	-71.255
Colobura_dirce	-11.93	-71.255
Historis_acheronta	-12.983333	-69.6
Historis_odius	-12.983333	-69.6
Baeotus_aeilus	-12.983333	-69.6
Baeotus_deucalion	-12.983333	-69.6
Colobura_dirce	-12.983333	-69.6
Historis_odius	-12.766667	-68.9
Baeotus_deucalion	-12.766667	-68.9
Colobura_dirce	-12.766667	-68.9
Colobura_dirce	-25.516667	-54.133333
Historis_odius	-25.516667	-54.133333
Colobura_dirce	-27.337139	-55.586664
Historis_odius	-2.413333	-78.231667
Historis_odius	-1.068333	-77.63
Historis_odius	-0.633333	-76.416667
Historis_odius	-0.703333	-76.008333
Historis_odius	0.028333	-77.320667
Historis_odius	0.418333	-77.536667
Historis_odius	0.8875	-78.439167
Historis_odius	0.873667	-78.4925
Historis_odius	0.095	-78.641667
